003145880 to 571083522 (777 seconds)
265745585 to Dinis Melo (714 seconds)
266308321 to Luis Pereira (256 seconds)
270228977 to Joao Pereira (95 seconds)
277304312 to Jose Alberto (398 seconds)
279125069 to Luisa Teixeira (624 seconds)
281417295 to Rui Pereira (756 seconds)
283925419 to Sergio Melo (645 seconds)
288103022 to Antonio Silva (782 seconds)
299100928 to Tomas Melo (378 seconds)
312119701 to Maria Tavares (554 seconds)
322864129 to Luis Tavares (530 seconds)
331292837 to Luis Melo (629 seconds)
336785528 to Luisa Alberto (12 seconds)
339533434 to Rui Pacheco (565 seconds)
348037880 to Mario Oliveira (349 seconds)
377547120 to Sergio Alberto (566 seconds)
382606181 to Miguel Oliveira (72 seconds)
397921348 to 755933775 (698 seconds)
401411951 to Tiago Tavares (873 seconds)
415154045 to Rui Silva (17 seconds)
416200028 to Jose Melo (565 seconds)
428390518 to Paulo Tavares (571 seconds)
432879687 to Dinis Oliveira (343 seconds)
446697299 to Luisa Melo (735 seconds)
448745063 to Sergio Teixeira (842 seconds)
451695914 to Luis Oliveira (435 seconds)
455330578 to Paula Pacheco (342 seconds)
463724046 to Joao Pereira (684 seconds)
464735706 to Tomas Alberto (369 seconds)
465797466 to Tomas Tavares (505 seconds)
466864193 to Maria Oliveira (192 seconds)
476847787 to Mario Tavares (35 seconds)
479448711 to Paulo Melo (226 seconds)
486185938 to Miguel Silva (172 seconds)
497468121 to Paula Pacheco (830 seconds)
506088420 to Luisa Tavares (130 seconds)
509533208 to 554860596 (591 seconds)
517700177 to Paulo Pacheco (843 seconds)
524071253 to Paulo Tavares (695 seconds)
530154083 to 314624686 (760 seconds)
535700831 to Paulo Melo (850 seconds)
540438000 to 592421937 (850 seconds)
543151397 to 536477774 (57 seconds)
572096649 to Miguel Pereira (682 seconds)
572281775 to Luisa Pereira (794 seconds)
579311238 to Tiago Pacheco (520 seconds)
594402072 to Pedro Tavares (541 seconds)
613185978 to Mario Pereira (537 seconds)
615782894 to Tomas Nunes (711 seconds)
617820037 to 463090174 (449 seconds)
619566331 to Luis Alberto (672 seconds)
619741242 to 973835531 (82 seconds)
620776940 to Ana Melo (862 seconds)
621959494 to Tomas Tavares (499 seconds)
628488417 to Luis Alberto (855 seconds)
636896704 to Mario Pereira (725 seconds)
640917875 to Tomas Alberto (634 seconds)
642456312 to Tiago Pacheco (783 seconds)
643745034 to Mario Pereira (23 seconds)
647917390 to Jose Tavares (85 seconds)
648495360 to Luis Pacheco (774 seconds)
650722699 to Ana Teixeira (621 seconds)
667644802 to Antonio Nunes (239 seconds)
668203533 to Paulo Pacheco (161 seconds)
673685630 to Sergio Tavares (51 seconds)
679522502 to Paula Silva (755 seconds)
681828701 to Rui Nunes (636 seconds)
684924184 to Pedro Alberto (514 seconds)
707704032 to Maria Silva (642 seconds)
711372739 to Jose Silva (182 seconds)
712868581 to Paula Teixeira (86 seconds)
715424355 to Tomas Nunes (601 seconds)
721147501 to Ana Silva (609 seconds)
722169320 to Rui Melo (373 seconds)
734945231 to Dinis Teixeira (781 seconds)
735373062 to Luis Pacheco (596 seconds)
742834561 to Mario Teixeira (442 seconds)
753133886 to Mariana Tavares (99 seconds)
762723140 to Luis Oliveira (53 seconds)
771256596 to Tiago Pereira (381 seconds)
771757098 to Maria Pereira (767 seconds)
774177045 to Tiago Nunes (432 seconds)
776004827 to Joao Silva (447 seconds)
783416163 to Joao Alberto (116 seconds)
783547103 to Maria Silva (522 seconds)
793088745 to Maria Melo (118 seconds)
794679780 to Maria Pereira (439 seconds)
798416431 to 207511634 (552 seconds)
809600341 to Tiago Teixeira (318 seconds)
812642810 to Paula Tavares (429 seconds)
834549498 to Luis Nunes (572 seconds)
838263776 to 352855588 (109 seconds)
848464492 to Pedro Teixeira (532 seconds)
852748858 to Ana Tavares (421 seconds)
855973257 to Paulo Alberto (78 seconds)
865434525 to Paulo Pacheco (891 seconds)
865575322 to Paulo Tavares (96 seconds)
867291474 to Tiago Alberto (731 seconds)
867518112 to Ana Tavares (895 seconds)
873347280 to Joao Teixeira (749 seconds)
884298191 to Joao Pacheco (504 seconds)
887821990 to Pedro Silva (220 seconds)
897832864 to 488050657 (727 seconds)
902448101 to Tomas Silva (277 seconds)
917833998 to Antonio Pereira (46 seconds)
928828928 to Miguel Tavares (463 seconds)
934535554 to Tiago Pereira (633 seconds)
938646989 to Sergio Tavares (658 seconds)
939180607 to Rui Melo (380 seconds)
949192837 to Mario Melo (218 seconds)
950890568 to Tiago Pacheco (601 seconds)
954766081 to Rui Tavares (261 seconds)
955326783 to Paulo Alberto (670 seconds)
956264262 to Miguel Silva (604 seconds)
959371980 to 825217571 (10 seconds)
962249403 to Paula Nunes (275 seconds)
963685403 to Sergio Pacheco (166 seconds)
964098416 to Rui Nunes (581 seconds)
971603695 to Maria Nunes (748 seconds)
994328815 to Ana Oliveira (98 seconds)
Ana Alberto to Dinis Alberto (131 seconds)
Ana Alberto to Luis Oliveira (412 seconds)
Ana Alberto to Luisa Oliveira (459 seconds)
Ana Alberto to Miguel Pereira (211 seconds)
Ana Alberto to Pedro Tavares (58 seconds)
Ana Alberto to Tiago Teixeira (188 seconds)
Ana Melo to Dinis Teixeira (639 seconds)
Ana Melo to Luisa Nunes (446 seconds)
Ana Melo to Miguel Alberto (366 seconds)
Ana Melo to Miguel Melo (188 seconds)
Ana Melo to Paula Alberto (609 seconds)
Ana Melo to Paula Nunes (44 seconds)
Ana Melo to Paulo Alberto (403 seconds)
Ana Melo to Paulo Teixeira (636 seconds)
Ana Melo to Rui Pacheco (144 seconds)
Ana Melo to Tiago Pereira (173 seconds)
Ana Melo to Tiago Tavares (76 seconds)
Ana Melo to Tomas Silva (880 seconds)
Ana Nunes to 181905760 (60 seconds)
Ana Nunes to Luis Silva (347 seconds)
Ana Nunes to Luisa Tavares (323 seconds)
Ana Nunes to Maria Pereira (283 seconds)
Ana Nunes to Mariana Tavares (110 seconds)
Ana Nunes to Mario Silva (537 seconds)
Ana Nunes to Sergio Melo (407 seconds)
Ana Oliveira to 451380784 (314 seconds)
Ana Oliveira to Antonio Nunes (571 seconds)
Ana Oliveira to Antonio Pacheco (157 seconds)
Ana Oliveira to Dinis Nunes (253 seconds)
Ana Oliveira to Luis Oliveira (317 seconds)
Ana Oliveira to Luis Pereira (704 seconds)
Ana Oliveira to Luisa Teixeira (627 seconds)
Ana Oliveira to Maria Oliveira (682 seconds)
Ana Oliveira to Mariana Silva (843 seconds)
Ana Oliveira to Pedro Pereira (170 seconds)
Ana Oliveira to Rui Melo (133 seconds)
Ana Oliveira to Tiago Pacheco (737 seconds)
Ana Pacheco to Antonio Nunes (794 seconds)
Ana Pacheco to Mariana Silva (653 seconds)
Ana Pacheco to Mario Melo (647 seconds)
Ana Pacheco to Paula Alberto (773 seconds)
Ana Pacheco to Tomas Silva (244 seconds)
Ana Pereira to Antonio Nunes (111 seconds)
Ana Pereira to Antonio Teixeira (629 seconds)
Ana Pereira to Jose Pereira (59 seconds)
Ana Pereira to Luis Silva (192 seconds)
Ana Pereira to Miguel Nunes (499 seconds)
Ana Pereira to Paulo Silva (564 seconds)
Ana Pereira to Pedro Silva (289 seconds)
Ana Pereira to Rui Pacheco (193 seconds)
Ana Pereira to Sergio Melo (145 seconds)
Ana Silva to Dinis Melo (316 seconds)
Ana Silva to Luis Alberto (820 seconds)
Ana Silva to Mariana Teixeira (865 seconds)
Ana Silva to Mario Melo (464 seconds)
Ana Silva to Mario Nunes (401 seconds)
Ana Tavares to Antonio Nunes (397 seconds)
Ana Tavares to Miguel Nunes (878 seconds)
Ana Tavares to Paula Silva (687 seconds)
Ana Tavares to Paulo Pacheco (371 seconds)
Ana Tavares to Pedro Pereira (784 seconds)
Ana Tavares to Pedro Silva (374 seconds)
Ana Tavares to Rui Alberto (895 seconds)
Ana Tavares to Rui Nunes (852 seconds)
Ana Tavares to Tomas Silva (609 seconds)
Ana Teixeira to Antonio Oliveira (101 seconds)
Ana Teixeira to Antonio Pacheco (810 seconds)
Ana Teixeira to Antonio Pereira (274 seconds)
Ana Teixeira to Antonio Teixeira (364 seconds)
Ana Teixeira to Dinis Oliveira (17 seconds)
Ana Teixeira to Dinis Teixeira (257 seconds)
Ana Teixeira to Jose Silva (458 seconds)
Ana Teixeira to Luisa Silva (390 seconds)
Ana Teixeira to Maria Tavares (735 seconds)
Ana Teixeira to Mariana Melo (657 seconds)
Ana Teixeira to Mario Alberto (83 seconds)
Ana Teixeira to Mario Silva (203 seconds)
Ana Teixeira to Paula Pacheco (435 seconds)
Ana Teixeira to Paulo Teixeira (380 seconds)
Ana Teixeira to Pedro Pereira (267 seconds)
Ana Teixeira to Sergio Alberto (33 seconds)
Ana Teixeira to Sergio Alberto (875 seconds)
Ana Teixeira to Sergio Silva (132 seconds)
Ana Teixeira to Sergio Teixeira (479 seconds)
Ana Teixeira to Tomas Nunes (210 seconds)
Antonio Alberto to Jose Teixeira (318 seconds)
Antonio Alberto to Maria Oliveira (290 seconds)
Antonio Alberto to Paulo Pacheco (616 seconds)
Antonio Alberto to Sergio Alberto (526 seconds)
Antonio Melo to Dinis Oliveira (877 seconds)
Antonio Melo to Jose Tavares (839 seconds)
Antonio Melo to Mario Melo (689 seconds)
Antonio Melo to Miguel Silva (829 seconds)
Antonio Melo to Paulo Alberto (861 seconds)
Antonio Melo to Paulo Silva (350 seconds)
Antonio Melo to Paulo Teixeira (312 seconds)
Antonio Melo to Pedro Silva (214 seconds)
Antonio Melo to Rui Melo (402 seconds)
Antonio Melo to Tomas Alberto (45 seconds)
Antonio Nunes to Ana Alberto (835 seconds)
Antonio Nunes to Antonio Oliveira (434 seconds)
Antonio Nunes to Dinis Pereira (843 seconds)
Antonio Nunes to Dinis Teixeira (175 seconds)
Antonio Nunes to Joao Tavares (268 seconds)
Antonio Nunes to Luis Alberto (159 seconds)
Antonio Nunes to Luisa Melo (855 seconds)
Antonio Nunes to Luisa Pacheco (147 seconds)
Antonio Nunes to Luisa Silva (235 seconds)
Antonio Nunes to Luisa Silva (361 seconds)
Antonio Nunes to Mariana Silva (64 seconds)
Antonio Nunes to Miguel Pacheco (693 seconds)
Antonio Nunes to Pedro Pacheco (660 seconds)
Antonio Nunes to Sergio Silva (594 seconds)
Antonio Nunes to Sergio Tavares (686 seconds)
Antonio Nunes to Tiago Melo (748 seconds)
Antonio Nunes to Tiago Pacheco (562 seconds)
Antonio Oliveira to 180731783 (593 seconds)
Antonio Oliveira to 419517747 (121 seconds)
Antonio Oliveira to Ana Pacheco (349 seconds)
Antonio Oliveira to Jose Nunes (476 seconds)
Antonio Oliveira to Luisa Pacheco (416 seconds)
Antonio Oliveira to Luisa Teixeira (510 seconds)
Antonio Oliveira to Maria Melo (206 seconds)
Antonio Oliveira to Paula Nunes (687 seconds)
Antonio Oliveira to Pedro Teixeira (91 seconds)
Antonio Oliveira to Sergio Melo (796 seconds)
Antonio Pacheco to 999803452 (873 seconds)
Antonio Pacheco to Antonio Tavares (826 seconds)
Antonio Pacheco to Jose Melo (21 seconds)
Antonio Pacheco to Jose Teixeira (479 seconds)
Antonio Pacheco to Luisa Silva (660 seconds)
Antonio Pacheco to Mario Tavares (370 seconds)
Antonio Pacheco to Paulo Pacheco (51 seconds)
Antonio Pacheco to Paulo Silva (761 seconds)
Antonio Pacheco to Sergio Alberto (350 seconds)
Antonio Pereira to Dinis Silva (156 seconds)
Antonio Pereira to Dinis Silva (492 seconds)
Antonio Pereira to Mariana Alberto (608 seconds)
Antonio Pereira to Tiago Pacheco (184 seconds)
Antonio Silva to 882438652 (626 seconds)
Antonio Silva to Antonio Nunes (297 seconds)
Antonio Silva to Dinis Teixeira (679 seconds)
Antonio Tavares to 555294298 (656 seconds)
Antonio Tavares to 812860024 (440 seconds)
Antonio Tavares to Joao Pacheco (236 seconds)
Antonio Tavares to Maria Pereira (458 seconds)
Antonio Tavares to Mariana Alberto (139 seconds)
Antonio Tavares to Mariana Melo (873 seconds)
Antonio Tavares to Mariana Pereira (187 seconds)
Antonio Tavares to Mariana Pereira (738 seconds)
Antonio Tavares to Mario Nunes (530 seconds)
Antonio Tavares to Miguel Pacheco (138 seconds)
Antonio Tavares to Paulo Pereira (479 seconds)
Antonio Tavares to Pedro Pereira (372 seconds)
Antonio Tavares to Sergio Pereira (627 seconds)
Antonio Tavares to Tomas Oliveira (53 seconds)
Antonio Tavares to Tomas Pacheco (704 seconds)
Antonio Tavares to Tomas Pereira (453 seconds)
Antonio Teixeira to 737828715 (533 seconds)
Antonio Teixeira to Dinis Silva (112 seconds)
Antonio Teixeira to Paula Melo (666 seconds)
Antonio Teixeira to Paula Oliveira (861 seconds)
Antonio Teixeira to Pedro Alberto (705 seconds)
Dinis Alberto to 269956343 (391 seconds)
Dinis Alberto to Joao Teixeira (548 seconds)
Dinis Alberto to Maria Alberto (185 seconds)
Dinis Alberto to Mariana Tavares (678 seconds)
Dinis Alberto to Mario Silva (880 seconds)
Dinis Alberto to Paula Alberto (212 seconds)
Dinis Alberto to Pedro Pereira (228 seconds)
Dinis Alberto to Rui Pereira (538 seconds)
Dinis Alberto to Sergio Silva (31 seconds)
Dinis Alberto to Tomas Melo (865 seconds)
Dinis Melo to 248372291 (589 seconds)
Dinis Melo to 481794078 (464 seconds)
Dinis Melo to 745910985 (483 seconds)
Dinis Melo to 867179476 (47 seconds)
Dinis Melo to Antonio Alberto (446 seconds)
Dinis Melo to Maria Tavares (814 seconds)
Dinis Melo to Miguel Pacheco (642 seconds)
Dinis Melo to Paulo Alberto (850 seconds)
Dinis Melo to Pedro Oliveira (164 seconds)
Dinis Melo to Rui Nunes (186 seconds)
Dinis Melo to Sergio Silva (22 seconds)
Dinis Melo to Sergio Silva (245 seconds)
Dinis Melo to Sergio Tavares (30 seconds)
Dinis Nunes to 554466412 (501 seconds)
Dinis Nunes to Ana Pacheco (112 seconds)
Dinis Nunes to Dinis Pacheco (471 seconds)
Dinis Nunes to Joao Nunes (103 seconds)
Dinis Nunes to Joao Silva (84 seconds)
Dinis Nunes to Joao Tavares (492 seconds)
Dinis Nunes to Luis Alberto (368 seconds)
Dinis Nunes to Luis Nunes (843 seconds)
Dinis Nunes to Luis Oliveira (499 seconds)
Dinis Nunes to Luis Pacheco (184 seconds)
Dinis Nunes to Mariana Alberto (386 seconds)
Dinis Nunes to Mariana Alberto (578 seconds)
Dinis Nunes to Mariana Melo (464 seconds)
Dinis Nunes to Mario Oliveira (232 seconds)
Dinis Nunes to Miguel Tavares (425 seconds)
Dinis Nunes to Paulo Pacheco (308 seconds)
Dinis Nunes to Pedro Alberto (792 seconds)
Dinis Nunes to Tiago Alberto (480 seconds)
Dinis Nunes to Tiago Alberto (633 seconds)
Dinis Nunes to Tiago Pacheco (591 seconds)
Dinis Nunes to Tomas Melo (15 seconds)
Dinis Oliveira to Ana Alberto (627 seconds)
Dinis Oliveira to Dinis Oliveira (230 seconds)
Dinis Oliveira to Luis Alberto (147 seconds)
Dinis Oliveira to Maria Tavares (55 seconds)
Dinis Oliveira to Mariana Silva (872 seconds)
Dinis Oliveira to Mario Silva (102 seconds)
Dinis Oliveira to Miguel Nunes (301 seconds)
Dinis Oliveira to Pedro Pereira (379 seconds)
Dinis Oliveira to Tiago Silva (813 seconds)
Dinis Pacheco to Dinis Silva (515 seconds)
Dinis Pacheco to Miguel Oliveira (454 seconds)
Dinis Pacheco to Paula Alberto (217 seconds)
Dinis Pacheco to Paulo Nunes (722 seconds)
Dinis Pacheco to Tiago Pacheco (135 seconds)
Dinis Pereira to 586783607 (794 seconds)
Dinis Pereira to Ana Teixeira (458 seconds)
Dinis Pereira to Dinis Alberto (123 seconds)
Dinis Pereira to Dinis Silva (344 seconds)
Dinis Pereira to Jose Silva (438 seconds)
Dinis Pereira to Jose Tavares (376 seconds)
Dinis Pereira to Mario Teixeira (539 seconds)
Dinis Pereira to Paulo Teixeira (673 seconds)
Dinis Pereira to Pedro Oliveira (507 seconds)
Dinis Pereira to Pedro Pereira (266 seconds)
Dinis Pereira to Rui Melo (258 seconds)
Dinis Pereira to Rui Silva (480 seconds)
Dinis Pereira to Tiago Oliveira (857 seconds)
Dinis Pereira to Tiago Tavares (730 seconds)
Dinis Pereira to Tomas Melo (92 seconds)
Dinis Pereira to Tomas Pacheco (373 seconds)
Dinis Silva to Antonio Pacheco (225 seconds)
Dinis Silva to Antonio Pacheco (471 seconds)
Dinis Silva to Antonio Tavares (683 seconds)
Dinis Silva to Dinis Melo (832 seconds)
Dinis Silva to Jose Alberto (857 seconds)
Dinis Silva to Jose Melo (406 seconds)
Dinis Silva to Luis Pereira (446 seconds)
Dinis Silva to Luisa Melo (12 seconds)
Dinis Silva to Luisa Nunes (350 seconds)
Dinis Silva to Mariana Alberto (703 seconds)
Dinis Silva to Paulo Nunes (719 seconds)
Dinis Silva to Pedro Pereira (87 seconds)
Dinis Silva to Pedro Silva (441 seconds)
Dinis Silva to Rui Pacheco (187 seconds)
Dinis Silva to Sergio Nunes (780 seconds)
Dinis Silva to Sergio Pacheco (210 seconds)
Dinis Tavares to Ana Teixeira (473 seconds)
Dinis Tavares to Maria Oliveira (131 seconds)
Dinis Tavares to Mariana Oliveira (528 seconds)
Dinis Tavares to Mario Tavares (50 seconds)
Dinis Tavares to Miguel Tavares (499 seconds)
Dinis Tavares to Sergio Tavares (437 seconds)
Dinis Tavares to Tiago Nunes (87 seconds)
Dinis Teixeira to 852148453 (283 seconds)
Dinis Teixeira to 998351414 (618 seconds)
Dinis Teixeira to Ana Oliveira (292 seconds)
Dinis Teixeira to Antonio Nunes (613 seconds)
Dinis Teixeira to Dinis Alberto (326 seconds)
Dinis Teixeira to Dinis Oliveira (13 seconds)
Dinis Teixeira to Dinis Pereira (841 seconds)
Dinis Teixeira to Joao Nunes (890 seconds)
Dinis Teixeira to Jose Silva (801 seconds)
Dinis Teixeira to Luis Melo (134 seconds)
Dinis Teixeira to Luisa Alberto (562 seconds)
Dinis Teixeira to Mario Alberto (207 seconds)
Dinis Teixeira to Paula Pacheco (469 seconds)
Dinis Teixeira to Paulo Pacheco (899 seconds)
Dinis Teixeira to Sergio Melo (17 seconds)
Dinis Teixeira to Sergio Pacheco (592 seconds)
Dinis Teixeira to Sergio Silva (837 seconds)
Dinis Teixeira to Tiago Nunes (278 seconds)
Dinis Teixeira to Tiago Oliveira (229 seconds)
Dinis Teixeira to Tomas Teixeira (123 seconds)
Joao Alberto to Dinis Pereira (799 seconds)
Joao Alberto to Mariana Tavares (804 seconds)
Joao Alberto to Paula Nunes (744 seconds)
Joao Alberto to Paula Silva (750 seconds)
Joao Alberto to Paula Teixeira (292 seconds)
Joao Alberto to Sergio Pereira (132 seconds)
Joao Alberto to Sergio Silva (636 seconds)
Joao Alberto to Tiago Pacheco (675 seconds)
Joao Melo to Rui Nunes (492 seconds)
Joao Melo to Tomas Pacheco (294 seconds)
Joao Melo to Tomas Tavares (196 seconds)
Joao Nunes to 693058248 (78 seconds)
Joao Nunes to 773186976 (658 seconds)
Joao Nunes to Ana Pereira (769 seconds)
Joao Nunes to Dinis Alberto (758 seconds)
Joao Nunes to Joao Pereira (430 seconds)
Joao Nunes to Luis Tavares (401 seconds)
Joao Nunes to Luisa Oliveira (75 seconds)
Joao Nunes to Luisa Teixeira (556 seconds)
Joao Nunes to Paula Nunes (254 seconds)
Joao Nunes to Paula Nunes (372 seconds)
Joao Nunes to Paula Pereira (277 seconds)
Joao Nunes to Paulo Pacheco (291 seconds)
Joao Nunes to Paulo Pacheco (638 seconds)
Joao Oliveira to Ana Silva (595 seconds)
Joao Oliveira to Antonio Tavares (692 seconds)
Joao Oliveira to Dinis Oliveira (316 seconds)
Joao Oliveira to Dinis Pereira (498 seconds)
Joao Oliveira to Jose Tavares (105 seconds)
Joao Oliveira to Luisa Alberto (439 seconds)
Joao Oliveira to Maria Nunes (782 seconds)
Joao Oliveira to Maria Oliveira (234 seconds)
Joao Oliveira to Pedro Alberto (14 seconds)
Joao Oliveira to Pedro Alberto (775 seconds)
Joao Oliveira to Tiago Teixeira (164 seconds)
Joao Pacheco to Ana Pereira (580 seconds)
Joao Pacheco to Antonio Pereira (387 seconds)
Joao Pacheco to Antonio Pereira (715 seconds)
Joao Pacheco to Dinis Nunes (444 seconds)
Joao Pacheco to Joao Pereira (377 seconds)
Joao Pacheco to Jose Silva (242 seconds)
Joao Pacheco to Luis Tavares (214 seconds)
Joao Pacheco to Luis Tavares (356 seconds)
Joao Pacheco to Mariana Alberto (577 seconds)
Joao Pacheco to Mario Tavares (662 seconds)
Joao Pacheco to Paula Alberto (611 seconds)
Joao Pacheco to Paulo Alberto (10 seconds)
Joao Pacheco to Pedro Nunes (81 seconds)
Joao Pacheco to Pedro Pacheco (255 seconds)
Joao Pacheco to Rui Alberto (818 seconds)
Joao Pacheco to Rui Nunes (517 seconds)
Joao Pacheco to Rui Oliveira (289 seconds)
Joao Pacheco to Rui Tavares (262 seconds)
Joao Pacheco to Tiago Teixeira (359 seconds)
Joao Pereira to Antonio Nunes (73 seconds)
Joao Pereira to Dinis Melo (73 seconds)
Joao Pereira to Dinis Pacheco (52 seconds)
Joao Pereira to Jose Pereira (619 seconds)
Joao Pereira to Jose Silva (401 seconds)
Joao Pereira to Jose Tavares (215 seconds)
Joao Pereira to Luisa Melo (407 seconds)
Joao Pereira to Luisa Nunes (303 seconds)
Joao Pereira to Mario Melo (102 seconds)
Joao Pereira to Paulo Pacheco (211 seconds)
Joao Pereira to Pedro Oliveira (57 seconds)
Joao Pereira to Sergio Pacheco (382 seconds)
Joao Pereira to Tiago Pereira (803 seconds)
Joao Pereira to Tomas Pacheco (73 seconds)
Joao Silva to 554683665 (645 seconds)
Joao Silva to Ana Nunes (83 seconds)
Joao Silva to Antonio Nunes (254 seconds)
Joao Silva to Antonio Pacheco (531 seconds)
Joao Silva to Jose Oliveira (213 seconds)
Joao Silva to Luis Silva (83 seconds)
Joao Silva to Luisa Nunes (865 seconds)
Joao Silva to Mariana Silva (54 seconds)
Joao Silva to Mariana Silva (730 seconds)
Joao Silva to Paula Alberto (879 seconds)
Joao Silva to Paula Tavares (156 seconds)
Joao Silva to Paulo Alberto (211 seconds)
Joao Silva to Paulo Silva (693 seconds)
Joao Silva to Pedro Alberto (843 seconds)
Joao Silva to Pedro Nunes (533 seconds)
Joao Silva to Rui Melo (264 seconds)
Joao Silva to Rui Silva (160 seconds)
Joao Silva to Rui Silva (842 seconds)
Joao Silva to Sergio Tavares (704 seconds)
Joao Silva to Tiago Pacheco (53 seconds)
Joao Tavares to 680882993 (603 seconds)
Joao Tavares to Ana Melo (27 seconds)
Joao Tavares to Dinis Melo (874 seconds)
Joao Tavares to Dinis Pereira (482 seconds)
Joao Tavares to Luis Tavares (814 seconds)
Joao Tavares to Luisa Silva (866 seconds)
Joao Tavares to Maria Pereira (391 seconds)
Joao Tavares to Mariana Oliveira (887 seconds)
Joao Tavares to Mariana Silva (350 seconds)
Joao Tavares to Mario Tavares (674 seconds)
Joao Tavares to Miguel Oliveira (624 seconds)
Joao Tavares to Paulo Nunes (813 seconds)
Joao Tavares to Pedro Melo (734 seconds)
Joao Tavares to Tiago Teixeira (707 seconds)
Joao Tavares to Tomas Nunes (217 seconds)
Joao Tavares to Tomas Pereira (418 seconds)
Joao Teixeira to 179535844 (55 seconds)
Joao Teixeira to Ana Oliveira (334 seconds)
Joao Teixeira to Antonio Pacheco (885 seconds)
Joao Teixeira to Antonio Tavares (896 seconds)
Joao Teixeira to Joao Silva (584 seconds)
Joao Teixeira to Jose Pacheco (690 seconds)
Joao Teixeira to Mariana Silva (681 seconds)
Joao Teixeira to Pedro Pacheco (248 seconds)
Joao Teixeira to Rui Pereira (108 seconds)
Joao Teixeira to Rui Silva (757 seconds)
Joao Teixeira to Sergio Silva (723 seconds)
Joao Teixeira to Tomas Melo (531 seconds)
Joao Teixeira to Tomas Pereira (298 seconds)
Joao Teixeira to Tomas Silva (168 seconds)
Joao Teixeira to Tomas Tavares (897 seconds)
Jose Alberto to Ana Pereira (518 seconds)
Jose Alberto to Dinis Nunes (274 seconds)
Jose Alberto to Dinis Pacheco (762 seconds)
Jose Alberto to Dinis Silva (640 seconds)
Jose Alberto to Luis Teixeira (22 seconds)
Jose Alberto to Mariana Silva (700 seconds)
Jose Alberto to Paula Nunes (258 seconds)
Jose Melo to 562740545 (468 seconds)
Jose Melo to 935095433 (37 seconds)
Jose Melo to Dinis Alberto (166 seconds)
Jose Melo to Dinis Melo (321 seconds)
Jose Melo to Dinis Nunes (29 seconds)
Jose Melo to Jose Alberto (568 seconds)
Jose Melo to Jose Melo (272 seconds)
Jose Melo to Jose Nunes (119 seconds)
Jose Melo to Jose Teixeira (597 seconds)
Jose Melo to Luis Tavares (762 seconds)
Jose Melo to Luisa Alberto (482 seconds)
Jose Melo to Luisa Pacheco (28 seconds)
Jose Melo to Maria Nunes (522 seconds)
Jose Melo to Mariana Pereira (416 seconds)
Jose Melo to Mario Teixeira (115 seconds)
Jose Melo to Miguel Alberto (567 seconds)
Jose Melo to Miguel Silva (844 seconds)
Jose Melo to Paulo Silva (368 seconds)
Jose Melo to Pedro Alberto (880 seconds)
Jose Melo to Rui Oliveira (499 seconds)
Jose Melo to Rui Silva (76 seconds)
Jose Melo to Sergio Melo (304 seconds)
Jose Melo to Sergio Silva (185 seconds)
Jose Melo to Tiago Teixeira (61 seconds)
Jose Melo to Tomas Pacheco (645 seconds)
